region,subregion,slope_pp_per_year,intercept,r2,last_observed,last_year
Cameroon,Lowest,0.10013357079252012,-157.34772929652735,0.07995469740551542,40.4,2018
Cameroon,Male,-0.09523597506678534,225.83098842386454,0.08198895221277036,31.2,2018
Cameroon,Middle,-0.5330810329474621,1104.3876224398932,0.8686854135449213,27.8,2018
Cameroon,No education,-0.07845057880676748,200.56634016028477,0.08390792755707521,39.0,2018
Cameroon,No education or primary,-0.01255565449688322,62.686553873552725,0.0041295714580382725,35.4,2018
Cameroon,Normal (BMI 18.5-24.9),-0.22246941045606217,482.46295884315884,0.9316139466334284,34.0,2018
Cameroon,Not interviewed and not in household,-0.6785714285714285,1398.440476190476,0.7263386629466677,27.4,2018
Cameroon,Not interviewed but in household,-0.35714285714285715,743.6476190476191,0.26027207107162686,20.5,2018
Cameroon,Overweight/ obese (BMI >= 25.0),-0.4916573971078976,1010.4251390433814,0.8874247366942627,18.2,2018
Cameroon,Primary,0.05231522707034727,-71.66064113980407,0.06291749417365422,32.4,2018
Cameroon,Rural,-0.008370436331255494,55.65770258236851,0.0015436943596992547,36.2,2018
Cameroon,Second,0.0050756901157614515,29.686286731967748,0.0012348029731051868,38.7,2018
Cameroon,Secondary,-0.015850400712377533,54.53054318788952,0.001601414080374286,21.8,2018
Cameroon,Secondary or higher,-0.07849510240427417,179.21558325912713,0.035838521142266155,20.0,2018
Cameroon,Small,-0.2026268922528939,445.1053428317005,0.308145086761655,35.0,2018
Cameroon,Thin (BMI < 18.5),0.0050055617352611995,33.17508342602932,0.00022268935055469452,41.8,2018
Cameroon,Urban,-0.18325912733748886,391.2845948352627,0.291053622519334,19.8,2018
Cameroon,Very small,-0.6780498664292075,1402.2231522707036,0.6966873627577624,28.2,2018
Centre,Centre,-0.2289403383793411,481.80801424755134,0.3541922945997811,19.5,2018
Centre,Haute-Sanaga,-0.8038270167266571,1645.730240313361,0.9687166053999773,15.1,2030
Centre,Lekie,-0.9299937605847223,1898.580140832516,0.9596622009641695,12.7,2030
Centre,Mbam-et-Inoubou,-0.798720152817574,1633.3020439350526,0.9701374804214753,12.7,2030
Centre,Mbam-et-Kim,-0.8282645512077723,1693.46202870131,0.9620531207500931,11.9,2030
Centre,Mefou-et-Afamba,-0.7965638648720917,1629.1418441928865,0.9794943699755599,14.6,2030
Centre,Mefou-et-Akono,-0.8167945520813354,1673.2686073278348,0.9694655372635742,15.4,2030
Centre,Mfoundi,-0.8261607761607763,1688.8154539154543,0.9721927833747326,13.5,2030
Centre,Nyong-et-Kelle,-0.8325474641233622,1701.9867858097873,0.9806264892529925,15.7,2030
Centre,Nyong-et-Mfoumou,-0.7582671939382208,1552.9546306794616,0.9713578844117491,14.1,2030
Centre,Nyong-et-Soo,-0.8429970357823418,1723.383045733644,0.9873423613112603,12.6,2030
East,Boumba-et-Ngoko,-0.7387068145800315,1526.3260158478602,0.9735398561875022,24.7,2030
East,East,0.0249109528049865,-16.251513802314946,0.011493570357801852,33.599999999999994,2018
East,Haut-Nyong,-0.8925127016668152,1831.7689990195204,0.9734842371288763,21.6,2030
East,Kadey,-0.8059560007154354,1658.6554845798091,0.9822095302177944,22.1,2030
East,Lom-et-Djerem,-0.8123217922606928,1672.9635874308997,0.9843552279678954,25.2,2030
