region,subregion,year,forecast_stunting,slope_pp_per_year,trend_r2
Littoral,Nkam,2026,6.617370086460596,-0.8546550494696495,0.9794047633083907
Littoral,Nkam,2028,4.908059987521256,-0.8546550494696495,0.9794047633083907
Littoral,Sanaga-Maritime,2026,7.275287742182854,-0.7997937847688471,0.9853713822949858
Littoral,Sanaga-Maritime,2028,5.675700172645293,-0.7997937847688471,0.9853713822949858
Littoral,Wouri,2026,5.558939226519215,-0.8078232044198895,0.9665706860083783
Littoral,Wouri,2028,3.9432928176795485,-0.8078232044198895,0.9665706860083783
North,Benoue,2026,30.60616834695452,-0.7696355067708645,0.9525640768712499
North,Benoue,2028,29.066897333412726,-0.7696355067708645,0.9525640768712499
North,Faro,2026,25.367345574471983,-0.9248729833318479,0.9672097015055743
North,Faro,2028,23.51759960780828,-0.9248729833318479,0.9672097015055743
North,Mayo-Louti,2026,32.02649968802916,-0.7971209555218824,0.9713123439456455
North,Mayo-Louti,2028,30.432257776985352,-0.7971209555218824,0.9713123439456455
North,Mayo-Rey,2026,30.808158035475344,-0.7620131027720826,0.9780361664052264
North,Mayo-Rey,2028,29.28413182993131,-0.7620131027720826,0.9780361664052264
North,North,2026,41.56553873552983,-0.009928762243989399,0.0018805112794371137
North,North,2028,41.54568121104185,-0.009928762243989399,0.0018805112794371137
Northwest,Boyo,2026,19.593504323023353,-0.8577524734824852,0.9587023280242217
Northwest,Boyo,2028,17.87799937605837,-0.8577524734824852,0.9587023280242217
Northwest,Bui,2026,19.32378171516598,-0.822554111478343,0.9641215645131932
Northwest,Bui,2028,17.678673492209327,-0.822554111478343,0.9641215645131932
Northwest,Donga-Mantung,2026,17.571332115161795,-0.818519921561636,0.9744611971704535
Northwest,Donga-Mantung,2028,15.93429227203842,-0.818519921561636,0.9744611971704535
Northwest,Menchum,2026,19.728273464658287,-0.8522595596755503,0.9659505732593783
Northwest,Menchum,2028,18.023754345307225,-0.8522595596755503,0.9659505732593783
Northwest,Mezam,2026,17.83198071803713,-0.8119696860685424,0.9570377981561098
Northwest,Mezam,2028,16.20804134590003,-0.8119696860685424,0.9570377981561098
Northwest,Momo,2026,15.915234942677216,-0.8903035685451319,0.978465720044263
